date,indicator,value,entity
2020-08-08,Daily hospital occupancy,295,Canada
2020-08-09,Daily hospital occupancy,301,Canada
2020-08-10,Daily hospital occupancy,279,Canada
2020-08-11,Daily hospital occupancy,267,Canada
2020-08-12,Daily hospital occupancy,264,Canada
2020-08-13,Daily hospital occupancy,264,Canada
2020-08-14,Daily hospital occupancy,265,Canada
2020-08-15,Daily hospital occupancy,260,Canada
2020-08-16,Daily hospital occupancy,261,Canada
2020-08-17,Daily hospital occupancy,257,Canada
2020-08-18,Daily hospital occupancy,254,Canada
2020-08-19,Daily hospital occupancy,255,Canada
2020-08-20,Daily hospital occupancy,245,Canada
2020-08-21,Daily hospital occupancy,240,Canada
2020-08-22,Daily hospital occupancy,230,Canada
2020-08-23,Daily hospital occupancy,227,Canada
2020-08-24,Daily hospital occupancy,237,Canada
2020-08-25,Daily hospital occupancy,240,Canada
2020-08-26,Daily hospital occupancy,260,Canada
2020-08-27,Daily hospital occupancy,250,Canada
2020-08-28,Daily hospital occupancy,243,Canada
2020-08-29,Daily hospital occupancy,238,Canada
2020-08-30,Daily hospital occupancy,255,Canada
2020-08-31,Daily hospital occupancy,262,Canada
2020-09-01,Daily hospital occupancy,263,Canada
2020-09-02,Daily hospital occupancy,257,Canada
2020-09-03,Daily hospital occupancy,256,Canada
2020-09-04,Daily hospital occupancy,241,Canada
2020-09-05,Daily hospital occupancy,219,Canada
2020-09-06,Daily hospital occupancy,220,Canada
2020-09-07,Daily hospital occupancy,219,Canada
2020-09-08,Daily hospital occupancy,255,Canada
2020-09-09,Daily hospital occupancy,262,Canada
2020-09-10,Daily hospital occupancy,262,Canada
2020-09-11,Daily hospital occupancy,270,Canada
2020-09-12,Daily hospital occupancy,276,Canada
2020-09-13,Daily hospital occupancy,273,Canada
2020-09-14,Daily hospital occupancy,291,Canada
2020-09-15,Daily hospital occupancy,296,Canada
2020-09-16,Daily hospital occupancy,309,Canada
2020-09-17,Daily hospital occupancy,317,Canada
2020-09-18,Daily hospital occupancy,320,Canada
2020-09-19,Daily hospital occupancy,330,Canada
2020-09-20,Daily hospital occupancy,358,Canada
2020-09-21,Daily hospital occupancy,383,Canada
2020-09-22,Daily hospital occupancy,406,Canada
2020-09-23,Daily hospital occupancy,422,Canada
2020-09-24,Daily hospital occupancy,448,Canada
2020-09-25,Daily hospital occupancy,482,Canada
2020-09-26,Daily hospital occupancy,496,Canada
2020-09-27,Daily hospital occupancy,502,Canada
2020-09-28,Daily hospital occupancy,549,Canada
2020-09-29,Daily hospital occupancy,570,Canada
2020-09-30,Daily hospital occupancy,596,Canada
2020-10-01,Daily hospital occupancy,601,Canada
2020-10-02,Daily hospital occupancy,630,Canada
2020-10-03,Daily hospital occupancy,648,Canada
2020-10-04,Daily hospital occupancy,691,Canada
2020-10-05,Daily hospital occupancy,728,Canada
2020-10-06,Daily hospital occupancy,760,Canada
2020-10-07,Daily hospital occupancy,818,Canada
2020-10-08,Daily hospital occupancy,815,Canada
2020-10-09,Daily hospital occupancy,822,Canada
2020-10-10,Daily hospital occupancy,810,Canada
2020-10-11,Daily hospital occupancy,861,Canada
2020-10-12,Daily hospital occupancy,873,Canada
2020-10-13,Daily hospital occupancy,927,Canada
2020-10-14,Daily hospital occupancy,946,Canada
2020-10-15,Daily hospital occupancy,977,Canada
2020-10-16,Daily hospital occupancy,958,Canada
2020-10-17,Daily hospital occupancy,978,Canada
2020-10-18,Daily hospital occupancy,997,Canada
2020-10-19,Daily hospital occupancy,1026,Canada
2020-10-20,Daily hospital occupancy,1035,Canada
2020-10-21,Daily hospital occupancy,1031,Canada
2020-10-22,Daily hospital occupancy,1052,Canada
2020-10-23,Daily hospital occupancy,1065,Canada
2020-10-24,Daily hospital occupancy,1112,Canada
2020-10-25,Daily hospital occupancy,1118,Canada
2020-10-26,Daily hospital occupancy,1147,Canada
2020-10-27,Daily hospital occupancy,1171,Canada
2020-10-28,Daily hospital occupancy,1156,Canada
2020-10-29,Daily hospital occupancy,1184,Canada
2020-10-30,Daily hospital occupancy,1183,Canada
2020-10-31,Daily hospital occupancy,1200,Canada
2020-11-01,Daily hospital occupancy,1246,Canada
2020-11-02,Daily hospital occupancy,1313,Canada
2020-11-03,Daily hospital occupancy,1343,Canada
2020-11-04,Daily hospital occupancy,1346,Canada
2020-11-05,Daily hospital occupancy,1394,Canada
2020-11-06,Daily hospital occupancy,1382,Canada
2020-11-07,Daily hospital occupancy,1389,Canada
2020-11-08,Daily hospital occupancy,1484,Canada
2020-11-09,Daily hospital occupancy,1522,Canada
2020-11-10,Daily hospital occupancy,1620,Canada
2020-11-11,Daily hospital occupancy,1668,Canada
2020-11-12,Daily hospital occupancy,1744,Canada
2020-11-13,Daily hospital occupancy,1764,Canada
2020-11-14,Daily hospital occupancy,1797,Canada
2020-11-15,Daily hospital occupancy,1829,Canada
2020-11-16,Daily hospital occupancy,1930,Canada
2020-11-17,Daily hospital occupancy,1975,Canada
2020-11-18,Daily hospital occupancy,1989,Canada
2020-11-19,Daily hospital occupancy,1955,Canada
2020-11-20,Daily hospital occupancy,2001,Canada
2020-11-21,Daily hospital occupancy,2063,Canada
2020-11-22,Daily hospital occupancy,2109,Canada
2020-11-23,Daily hospital occupancy,2224,Canada
2020-11-24,Daily hospital occupancy,2250,Canada
2020-11-25,Daily hospital occupancy,2301,Canada
2020-11-26,Daily hospital occupancy,2444,Canada
2020-11-27,Daily hospital occupancy,2494,Canada
2020-11-28,Daily hospital occupancy,2536,Canada
2020-11-29,Daily hospital occupancy,2593,Canada
2020-11-30,Daily hospital occupancy,2710,Canada
2020-12-01,Daily hospital occupancy,2786,Canada
2020-12-02,Daily hospital occupancy,2840,Canada
2020-12-03,Daily hospital occupancy,2911,Canada
2020-12-04,Daily hospital occupancy,2965,Canada
2020-12-05,Daily hospital occupancy,3031,Canada
2020-12-06,Daily hospital occupancy,3126,Canada
2020-12-07,Daily hospital occupancy,3188,Canada
2020-12-08,Daily hospital occupancy,3172,Canada
2020-12-09,Daily hospital occupancy,3128,Canada
2020-12-10,Daily hospital occupancy,3229,Canada
2020-12-11,Daily hospital occupancy,3203,Canada
2020-12-12,Daily hospital occupancy,3232,Canada
2020-12-13,Daily hospital occupancy,3345,Canada
2020-12-14,Daily hospital occupancy,3485,Canada
2020-12-15,Daily hospital occupancy,3448,Canada
2020-12-16,Daily hospital occupancy,3468,Canada
2020-12-17,Daily hospital occupancy,3469,Canada
2020-12-18,Daily hospital occupancy,3477,Canada
2020-12-19,Daily hospital occupancy,3495,Canada
2020-12-20,Daily hospital occupancy,3627,Canada
2020-12-21,Daily hospital occupancy,3647,Canada
2020-12-22,Daily hospital occupancy,3616,Canada
2020-12-23,Daily hospital occupancy,3576,Canada
2020-12-24,Daily hospital occupancy,3468,Canada
2020-12-25,Daily hospital occupancy,3582,Canada
2020-12-26,Daily hospital occupancy,3866,Canada
2020-12-27,Daily hospital occupancy,3987,Canada
2020-12-28,Daily hospital occupancy,4068,Canada
2020-12-29,Daily hospital occupancy,4292,Canada
2020-12-30,Daily hospital occupancy,4268,Canada
2020-12-31,Daily hospital occupancy,4197,Canada
2021-01-01,Daily hospital occupancy,4163,Canada
2021-01-02,Daily hospital occupancy,4377,Canada
2021-01-03,Daily hospital occupancy,4506,Canada
2021-01-04,Daily hospital occupancy,4590,Canada
2021-01-05,Daily hospital occupancy,4662,Canada
2021-01-06,Daily hospital occupancy,4643,Canada
2021-01-07,Daily hospital occupancy,4641,Canada
2021-01-08,Daily hospital occupancy,4613,Canada
2021-01-09,Daily hospital occupancy,4663,Canada
2021-01-10,Daily hospital occupancy,4817,Canada
2021-01-11,Daily hospital occupancy,4878,Canada
